ComplaintID,CustomerID,DateOpened,DateClosed,Channel,Product,IssueCategory,Severity,Status,Resolution,SLA_Target_Hours,FRT_Minutes,HandleTime_Minutes,CustomerSegment,Region
CX250700349,C66352,2025-07-01 11:13:00,2025-07-01 23:13:00,Email,Cards,Fraud alert,Low,Closed,Resolved,48,84,13,SME,Eastern
CX250711826,C49980,2025-07-01 11:18:00,,Facebook,Accounts,Statement request,Low,Open,Unresolved,72,9,11,Retail,Nyanza
CX250708438,C44320,2025-07-01 11:22:00,2025-07-04 15:22:00,X,Accounts,KYC update,Medium,Closed,Resolved,48,39,13,SME,Central
CX250700786,C47256,2025-07-01 12:07:00,2025-07-01 17:07:00,Facebook,Internet Banking,Token/OTP issues,Medium,Closed,Resolved,24,15,19,Corporate,Western
CX250700487,C56263,2025-07-01 12:51:00,2025-07-03 20:51:00,Branch,Accounts,KYC update,Low,Closed,Resolved,72,9,21,SME,North Eastern
CX250710851,C68725,2025-07-01 12:56:00,2025-07-01 20:56:00,Call Centre,Internet Banking,Session timeout,High,Closed,Resolved,12,2,20,SME,Nyanza
CX250709708,C52426,2025-07-01 12:57:00,2025-07-07 12:57:00,Call Centre,ATM,Cash not dispensed,Low,Closed,Resolved,72,8,13,Retail,Rift Valley
CX250707237,C97835,2025-07-01 12:57:00,2025-07-02 10:57:00,Email,Mobile Banking,App crash,Low,Closed,Partially Resolved,48,46,23,SME,Eastern
CX250703647,C72706,2025-07-01 13:09:00,2025-07-03 11:09:00,App,Agent Banking,Reversal delay,Low,Closed,Partially Resolved,72,3,26,SME,Eastern
CX250700910,C14961,2025-07-01 13:12:00,2025-07-02 09:12:00,Facebook,ATM,Cash not dispensed,Low,Closed,Resolved,72,22,27,SME,Central
CX250708169,C58044,2025-07-01 13:26:00,2025-07-02 08:26:00,App,Agent Banking,Service unavailable,Low,Closed,Resolved,72,5,34,Retail,Nairobi
CX250708087,C82228,2025-07-01 13:34:00,2025-07-03 05:34:00,X,Agent Banking,Reversal delay,Low,Closed,Resolved,72,14,18,Corporate,Rift Valley
CX250702275,C74666,2025-07-01 13:34:00,2025-07-02 01:34:00,Facebook,Loans,Loan balance query,High,Closed,Resolved,60,15,19,SME,Eastern
CX250700047,C36540,2025-07-01 13:45:00,2025-07-02 23:45:00,WhatsApp,Agent Banking,Reversal delay,Medium,Closed,Resolved,48,4,18,Corporate,Central
CX250701585,C72959,2025-07-01 13:50:00,2025-07-02 07:50:00,Call Centre,Accounts,Account blocked,Low,Closed,Resolved,72,6,24,Corporate,Coast
CX250709252,C21046,2025-07-01 13:52:00,2025-07-02 09:52:00,Facebook,Internet Banking,Login failure,Low,Closed,Resolved,48,36,22,Retail,Nyanza
CX250706656,C72001,2025-07-01 13:52:00,2025-07-01 20:52:00,App,ATM,ATM downtime,Low,Closed,Unresolved,72,2,21,Retail,Central
CX250707356,C32004,2025-07-01 13:59:00,2025-07-02 15:59:00,Branch,Mobile Banking,Transfer failed,High,Closed,Resolved,12,11,39,Corporate,Coast
CX250706343,C65272,2025-07-01 14:02:00,,Live Chat,Internet Banking,Login failure,Low,Escalated,Unresolved,48,2,15,SME,Coast
CX250702888,C77757,2025-07-01 14:17:00,2025-07-01 19:17:00,Live Chat,Mobile Banking,Login failure,Medium,Closed,Partially Resolved,24,3,26,Corporate,North Eastern
CX250700253,C20356,2025-07-01 14:21:00,2025-07-02 20:21:00,X,Agent Banking,Float issues,Medium,Open,Unresolved,48,11,24,Retail,Rift Valley
CX250710726,C13736,2025-07-01 14:27:00,2025-07-02 20:27:00,Branch,Agent Banking,Cash-out failed,Low,Closed,Resolved,72,17,19,SME,Eastern
CX250705960,C63944,2025-07-01 14:31:00,2025-07-02 23:31:00,Live Chat,Agent Banking,Reversal delay,Low,Closed,Partially Resolved,72,6,22,SME,North Eastern
CX250701728,C78112,2025-07-01 14:38:00,2025-07-02 02:38:00,WhatsApp,Mobile Banking,Transfer failed,Medium,Closed,Resolved,24,14,31,Corporate,North Eastern
CX250701330,C79758,2025-07-01 14:47:00,2025-07-01 23:47:00,Live Chat,Mobile Banking,Login failure,Low,Closed,Resolved,48,3,31,SME,Eastern
CX250707149,C44958,2025-07-01 14:58:00,2025-07-03 08:58:00,WhatsApp,Payments,Reversal delay,Low,Closed,Resolved,72,24,15,Retail,Western
CX250711828,C51831,2025-07-01 15:07:00,2025-07-01 23:07:00,Live Chat,Accounts,Statement request,Medium,Closed,Resolved,48,3,19,SME,Nairobi
CX250705771,C57516,2025-07-01 15:12:00,2025-07-02 12:12:00,Branch,Agent Banking,Service unavailable,Low,Closed,Resolved,72,26,11,Retail,Eastern
CX250708515,C41273,2025-07-01 15:32:00,2025-07-03 06:32:00,Branch,Accounts,Charges dispute,Low,Closed,Resolved,72,5,18,Corporate,Nyanza
CX250700290,C83132,2025-07-01 15:39:00,2025-07-04 01:39:00,Email,Accounts,KYC update,Low,Closed,Resolved,72,133,16,Retail,Western
CX250700454,C32531,2025-07-01 15:50:00,2025-07-03 18:50:00,Call Centre,ATM,Cash not dispensed,Low,Closed,Resolved,72,3,19,SME,Central
CX250711973,C50219,2025-07-01 15:53:00,2025-07-03 08:53:00,Live Chat,Cards,Chargeback dispute,High,Closed,Resolved,12,6,24,Corporate,Central
CX250701813,C82114,2025-07-01 16:23:00,,WhatsApp,ATM,Partial dispense,High,Open,Unresolved,36,6,8,Retail,Coast
CX250703245,C87067,2025-07-01 16:31:00,2025-07-06 15:31:00,App,Agent Banking,Reversal delay,Low,Closed,Resolved,72,1,22,Corporate,Rift Valley
CX250700287,C37268,2025-07-01 17:17:00,2025-07-01 21:17:00,Live Chat,Internet Banking,Token/OTP issues,Medium,Closed,Resolved,24,1,16,Corporate,Nyanza
CX250707013,C90906,2025-07-01 17:21:00,2025-07-03 01:21:00,App,ATM,Cash not dispensed,Low,Closed,Partially Resolved,72,5,22,SME,Nairobi
CX250701587,C42524,2025-07-01 17:47:00,,App,Loans,Interest dispute,Low,Escalated,Unresolved,96,3,17,Retail,Western
CX250711083,C49870,2025-07-01 18:05:00,2025-07-02 07:05:00,Email,Loans,Loan balance query,Low,Closed,Resolved,96,92,25,Corporate,Eastern
CX250707652,C33800,2025-07-01 18:12:00,2025-07-02 19:12:00,Branch,Agent Banking,Service unavailable,Low,Closed,Resolved,72,17,17,Retail,Eastern
CX250711026,C93246,2025-07-01 18:14:00,2025-07-03 10:14:00,Call Centre,Agent Banking,Reversal delay,High,Open,Unresolved,36,4,33,Retail,Nyanza
CX250700584,C29372,2025-07-01 18:24:00,2025-07-03 23:24:00,App,Payments,Duplicate debit,Medium,Closed,Unresolved,48,3,31,Corporate,North Eastern
CX250704717,C62221,2025-07-01 18:34:00,2025-07-01 22:34:00,Email,Internet Banking,Token/OTP issues,Medium,Open,Unresolved,24,209,20,Retail,Coast
CX250705300,C42168,2025-07-01 19:03:00,2025-07-02 06:03:00,X,Mobile Banking,Bill payment failed,Medium,Closed,Resolved,24,51,18,SME,Coast
CX250701581,C23957,2025-07-01 19:07:00,,Email,Payments,Reversal delay,Medium,Escalated,Unresolved,48,66,23,SME,Nyanza
CX250706175,C68343,2025-07-01 19:23:00,2025-07-02 05:23:00,App,ATM,ATM downtime,Medium,Closed,Resolved,48,3,29,Retail,Nairobi
CX250705896,C34817,2025-07-01 19:34:00,,X,Agent Banking,Wrong posting,Low,Open,Partially Resolved,72,11,17,Corporate,Central
CX250705555,C46100,2025-07-01 19:55:00,2025-07-02 20:55:00,Email,ATM,Card retained,High,Escalated,Unresolved,36,50,31,Corporate,Western
CX250701174,C72994,2025-07-02 08:01:00,,Call Centre,Mobile Banking,Bill payment failed,Low,Open,Unresolved,48,6,37,Corporate,Coast
CX250707755,C86506,2025-07-02 08:06:00,2025-07-02 17:06:00,Live Chat,Cards,Declined transaction,High,Closed,Resolved,12,6,28,Corporate,Coast
CX250708055,C85401,2025-07-02 08:52:00,2025-07-06 11:52:00,App,ATM,Partial dispense,Low,Closed,Resolved,72,2,14,SME,Nairobi
CX250703070,C96276,2025-07-02 09:00:00,,X,Mobile Banking,OTP not received,Medium,Open,Unresolved,24,9,16,SME,Central
CX250707743,C31012,2025-07-02 09:06:00,2025-07-03 07:06:00,Branch,Loans,Loan balance query,Medium,Closed,Resolved,72,16,22,SME,Coast
CX250703817,C77050,2025-07-02 09:15:00,2025-07-06 21:15:00,X,Loans,Reschedule request,High,Closed,Partially Resolved,60,5,20,SME,Coast
CX250708037,C14339,2025-07-02 09:24:00,2025-07-02 21:24:00,WhatsApp,Mobile Banking,Transfer failed,High,Closed,Resolved,12,7,12,Retail,Nyanza
CX250702063,C26884,2025-07-02 09:36:00,2025-07-03 01:36:00,X,Internet Banking,Beneficiary issues,High,Closed,Resolved,12,14,19,SME,North Eastern
CX250710379,C26597,2025-07-02 10:01:00,2025-07-06 06:01:00,Live Chat,Accounts,Charges dispute,Low,Closed,Resolved,72,3,39,SME,Western
CX250704020,C91421,2025-07-02 10:10:00,2025-07-03 00:10:00,Email,Mobile Banking,App crash,Medium,Closed,Resolved,24,122,27,Retail,Eastern
CX250704374,C53919,2025-07-02 10:14:00,2025-07-04 03:14:00,Call Centre,ATM,Cash not dispensed,Medium,Escalated,Unresolved,48,5,27,Corporate,Western
CX250707043,C41856,2025-07-02 10:15:00,,App,Payments,P2P failed,Medium,Open,Partially Resolved,48,3,19,Corporate,Western
CX250702825,C98634,2025-07-02 10:19:00,2025-07-02 17:19:00,WhatsApp,Internet Banking,Login failure,Low,Closed,Resolved,48,31,22,SME,Western
CX250700378,C91641,2025-07-02 10:21:00,2025-07-02 16:21:00,Live Chat,Mobile Banking,Login failure,Medium,Closed,Resolved,24,4,31,Corporate,North Eastern
CX250702931,C74411,2025-07-02 10:28:00,2025-07-05 09:28:00,Email,Accounts,Account blocked,Low,Closed,Resolved,72,59,22,SME,Central
CX250711409,C39358,2025-07-02 10:33:00,2025-07-02 13:33:00,WhatsApp,Mobile Banking,OTP not received,Medium,Closed,Partially Resolved,24,5,13,Retail,Nyanza
CX250711948,C60296,2025-07-02 10:36:00,2025-07-03 09:36:00,Live Chat,Payments,Reversal delay,Medium,Closed,Unresolved,48,4,15,Retail,Nairobi
CX250704723,C61441,2025-07-02 10:37:00,,X,ATM,ATM downtime,Low,Escalated,Unresolved,72,17,18,Retail,Nairobi
CX250709991,C72286,2025-07-02 10:44:00,2025-07-06 16:44:00,Facebook,Accounts,KYC update,Low,Closed,Resolved,72,30,19,Corporate,Rift Valley
CX250701799,C19636,2025-07-02 10:58:00,2025-07-02 20:58:00,X,Cards,Fraud alert,Low,Open,Partially Resolved,48,26,10,Retail,Nairobi
CX250711437,C82558,2025-07-02 11:31:00,2025-07-02 23:31:00,Facebook,Payments,P2P failed,Low,Closed,Resolved,72,16,23,SME,Western
CX250704746,C64284,2025-07-02 11:43:00,2025-07-03 14:43:00,App,Agent Banking,Float issues,Low,Closed,Partially Resolved,72,6,28,SME,North Eastern
CX250703279,C75427,2025-07-02 11:55:00,2025-07-03 04:55:00,Email,Agent Banking,Service unavailable,Low,Closed,Partially Resolved,72,142,15,Retail,Rift Valley
CX250705783,C80702,2025-07-02 12:25:00,2025-07-05 10:25:00,Facebook,Accounts,KYC update,Low,Closed,Resolved,72,7,30,Corporate,Coast
CX250701871,C77584,2025-07-02 12:37:00,,WhatsApp,Agent Banking,Float issues,Low,Escalated,Unresolved,72,28,31,Corporate,Nyanza
CX250706760,C88106,2025-07-02 12:48:00,2025-07-02 18:48:00,X,Cards,Card blocked,Low,Closed,Resolved,48,9,16,Corporate,Western
CX250701509,C10834,2025-07-02 12:54:00,2025-07-02 22:54:00,WhatsApp,Accounts,Statement request,Low,Closed,Resolved,72,14,12,SME,Rift Valley
CX250701187,C68917,2025-07-02 13:05:00,,App,Agent Banking,Service unavailable,Low,Open,Unresolved,72,2,23,Corporate,North Eastern
CX250710397,C50468,2025-07-02 13:27:00,,WhatsApp,Agent Banking,Float issues,Low,Escalated,Unresolved,72,17,20,Corporate,North Eastern
CX250710235,C36092,2025-07-02 13:30:00,,Call Centre,Payments,Settlement delay,Low,Escalated,Unresolved,72,17,22,SME,North Eastern
CX250704111,C73698,2025-07-02 13:35:00,2025-07-02 17:35:00,Facebook,Internet Banking,Login failure,Medium,Closed,Resolved,24,36,24,SME,Rift Valley
CX250711363,C22566,2025-07-02 13:36:00,,App,Accounts,Charges dispute,High,Escalated,Unresolved,36,2,23,Retail,Rift Valley
CX250703920,C69736,2025-07-02 13:43:00,2025-07-04 18:43:00,X,Accounts,Account blocked,Medium,Closed,Resolved,48,10,27,SME,Coast
CX250704880,C21388,2025-07-02 13:56:00,2025-07-03 12:56:00,X,ATM,ATM downtime,Medium,Closed,Resolved,48,19,15,SME,Western
CX250704402,C11574,2025-07-02 13:59:00,2025-07-03 11:59:00,Email,Payments,P2P failed,High,Closed,Resolved,36,86,14,Corporate,Western
CX250711082,C81460,2025-07-02 14:01:00,2025-07-05 04:01:00,App,ATM,Partial dispense,Low,Closed,Resolved,72,14,28,SME,Rift Valley
CX250701165,C37338,2025-07-02 14:16:00,2025-07-03 13:16:00,Email,Internet Banking,Transfer failed,Low,Closed,Unresolved,48,86,31,SME,Nairobi
CX250711726,C61288,2025-07-02 14:21:00,2025-07-03 05:21:00,Facebook,Internet Banking,Beneficiary issues,Low,Closed,Resolved,48,28,14,SME,Eastern
CX250704414,C29448,2025-07-02 14:28:00,2025-07-02 20:28:00,X,Mobile Banking,Login failure,High,Closed,Partially Resolved,12,13,18,Retail,Western
CX250709628,C67160,2025-07-02 14:46:00,2025-07-04 15:46:00,Live Chat,Accounts,Charges dispute,Medium,Closed,Resolved,48,5,12,SME,Nyanza
CX250705218,C71286,2025-07-02 15:13:00,2025-07-03 02:13:00,WhatsApp,Payments,Merchant payment failed,Medium,Closed,Resolved,48,13,20,SME,Central
CX250710605,C59984,2025-07-02 15:17:00,2025-07-02 20:17:00,Facebook,Cards,PIN reset,Medium,Closed,Resolved,24,16,33,Corporate,Nyanza
CX250709597,C59658,2025-07-02 15:33:00,,Live Chat,Accounts,KYC update,Low,Open,Partially Resolved,72,7,24,Retail,Western
CX250707602,C85945,2025-07-02 15:40:00,2025-07-03 02:40:00,Branch,ATM,ATM downtime,Low,Closed,Resolved,72,21,16,SME,Coast
CX250703583,C91361,2025-07-02 16:00:00,2025-07-02 17:00:00,Live Chat,Internet Banking,Token/OTP issues,Medium,Closed,Resolved,24,4,12,Retail,Central
CX250704869,C12236,2025-07-02 16:16:00,2025-07-03 13:16:00,Live Chat,Agent Banking,Reversal delay,Low,Closed,Resolved,72,8,17,Corporate,Eastern
CX250703856,C42196,2025-07-02 16:25:00,2025-07-03 11:25:00,Email,Payments,Settlement delay,Medium,Closed,Resolved,48,61,10,SME,Nairobi
CX250705068,C52647,2025-07-02 16:31:00,2025-07-02 22:31:00,App,Internet Banking,Token/OTP issues,Low,Closed,Partially Resolved,48,8,13,Corporate,North Eastern
CX250705131,C61195,2025-07-02 16:35:00,2025-07-05 11:35:00,Email,Agent Banking,Wrong posting,Medium,Closed,Partially Resolved,48,99,29,Corporate,North Eastern
CX250702143,C64944,2025-07-02 17:12:00,2025-07-03 16:12:00,Branch,Agent Banking,Cash-out failed,Medium,Open,Unresolved,48,19,17,Retail,Nairobi
CX250710125,C38707,2025-07-02 17:52:00,2025-07-03 03:52:00,X,ATM,ATM downtime,Medium,Closed,Resolved,48,7,26,Retail,Western
CX250707577,C86620,2025-07-02 18:18:00,2025-07-06 18:18:00,Email,ATM,Cash not dispensed,Low,Closed,Resolved,72,72,28,Corporate,Nairobi
CX250704411,C54469,2025-07-02 19:01:00,2025-07-03 04:01:00,WhatsApp,ATM,ATM downtime,Low,Closed,Partially Resolved,72,15,31,SME,Western
CX250706954,C20313,2025-07-02 19:05:00,2025-07-03 14:05:00,Facebook,Payments,Merchant payment failed,Medium,Closed,Unresolved,48,23,35,Corporate,North Eastern
CX250702196,C92882,2025-07-02 19:54:00,2025-07-06 10:54:00,X,Cards,Chargeback dispute,Low,Closed,Resolved,48,17,27,SME,Nairobi
CX250711852,C62886,2025-07-03 08:02:00,2025-07-04 11:02:00,Branch,Loans,Loan balance query,Medium,Closed,Resolved,72,9,21,Retail,Rift Valley
CX250707461,C68394,2025-07-03 08:04:00,2025-07-06 21:04:00,WhatsApp,Payments,Settlement delay,Low,Closed,Resolved,72,18,16,SME,Rift Valley
CX250705028,C66615,2025-07-03 08:29:00,2025-07-04 02:29:00,Call Centre,Internet Banking,Transfer failed,Low,Closed,Resolved,48,11,21,Corporate,Nairobi
CX250702653,C54350,2025-07-03 08:33:00,2025-07-05 22:33:00,Facebook,Payments,Reversal delay,Medium,Closed,Resolved,48,31,31,SME,Rift Valley
CX250705519,C11228,2025-07-03 08:36:00,2025-07-04 20:36:00,X,Agent Banking,Wrong posting,Low,Closed,Resolved,72,18,26,Corporate,North Eastern
CX250703925,C89370,2025-07-03 08:47:00,2025-07-04 22:47:00,X,Payments,Duplicate debit,Medium,Closed,Resolved,48,17,19,Retail,Central
CX250708503,C36881,2025-07-03 09:29:00,2025-07-05 02:29:00,Branch,Agent Banking,Float issues,Low,Closed,Resolved,72,23,13,Retail,North Eastern
CX250705016,C53338,2025-07-03 09:37:00,2025-07-03 18:37:00,Live Chat,Agent Banking,Service unavailable,Medium,Closed,Resolved,48,5,14,SME,Western
CX250704735,C21794,2025-07-03 09:49:00,2025-07-05 02:49:00,Branch,Accounts,Balance discrepancy,High,Closed,Resolved,36,46,25,Corporate,North Eastern
CX250709206,C49902,2025-07-03 09:59:00,2025-07-03 23:59:00,X,Agent Banking,Wrong posting,High,Escalated,Unresolved,36,22,43,SME,Nairobi
CX250705390,C33655,2025-07-03 10:16:00,2025-07-03 12:16:00,Branch,Cards,PIN reset,Low,Closed,Resolved,48,41,18,Corporate,Coast
CX250701098,C39767,2025-07-03 10:43:00,2025-07-05 10:43:00,WhatsApp,ATM,Card retained,Low,Closed,Resolved,72,5,39,Corporate,Eastern
CX250710114,C48734,2025-07-03 10:50:00,2025-07-03 18:50:00,Email,Cards,Declined transaction,Low,Closed,Resolved,48,64,18,Retail,Nairobi
CX250710404,C95264,2025-07-03 10:58:00,2025-07-03 20:58:00,App,Mobile Banking,Login failure,Low,Closed,Partially Resolved,48,2,28,SME,Central
CX250708187,C69464,2025-07-03 11:12:00,2025-07-04 20:12:00,WhatsApp,Payments,Reversal delay,Medium,Closed,Unresolved,48,29,10,Corporate,Eastern
CX250707945,C44179,2025-07-03 11:39:00,2025-07-04 09:39:00,WhatsApp,Agent Banking,Reversal delay,Medium,Open,Partially Resolved,48,9,19,SME,Rift Valley
CX250706575,C95370,2025-07-03 12:13:00,2025-07-05 16:13:00,Branch,Payments,Reversal delay,Medium,Closed,Resolved,48,9,20,SME,Eastern
CX250711086,C56508,2025-07-03 12:27:00,,Call Centre,Mobile Banking,Login failure,Medium,Escalated,Unresolved,24,4,11,SME,Western
CX250706321,C48086,2025-07-03 12:30:00,2025-07-04 00:30:00,Facebook,Cards,Card blocked,Medium,Closed,Resolved,24,36,20,Retail,Nyanza
CX250706525,C51769,2025-07-03 12:39:00,2025-07-06 13:39:00,App,Payments,Duplicate debit,Medium,Closed,Resolved,48,5,8,Corporate,Western
CX250709737,C44874,2025-07-03 12:57:00,2025-07-03 22:57:00,Call Centre,Internet Banking,Session timeout,Low,Closed,Partially Resolved,48,5,13,Retail,Eastern
CX250703319,C58435,2025-07-03 13:30:00,,Live Chat,Mobile Banking,Login failure,Medium,Escalated,Unresolved,24,2,26,Retail,Nyanza
CX250707014,C36923,2025-07-03 14:08:00,2025-07-07 15:08:00,Call Centre,Payments,Settlement delay,Low,Open,Partially Resolved,72,5,19,SME,Eastern
CX250704327,C38846,2025-07-03 14:24:00,2025-07-04 23:24:00,Live Chat,Payments,Settlement delay,Medium,Closed,Resolved,48,4,26,Retail,North Eastern
CX250700939,C97084,2025-07-03 14:50:00,2025-07-03 21:50:00,Email,Mobile Banking,Login failure,Low,Escalated,Unresolved,48,236,18,Retail,North Eastern
CX250704196,C34415,2025-07-03 15:11:00,2025-07-07 21:11:00,Branch,Payments,Settlement delay,Low,Closed,Partially Resolved,72,12,23,Retail,Rift Valley
CX250711800,C76372,2025-07-03 15:18:00,2025-07-04 16:18:00,Call Centre,Agent Banking,Reversal delay,Low,Closed,Resolved,72,4,9,Corporate,Eastern
CX250708446,C40386,2025-07-03 15:21:00,,Branch,Loans,Loan balance query,Low,Open,Unresolved,96,24,28,Retail,North Eastern
CX250708661,C88432,2025-07-03 15:25:00,2025-07-03 20:25:00,Facebook,Mobile Banking,OTP not received,Low,Closed,Resolved,48,27,10,Corporate,Western
CX250709755,C58951,2025-07-03 15:33:00,2025-07-10 07:33:00,Branch,Loans,Interest dispute,Low,Closed,Resolved,96,13,20,Retail,Central
CX250704158,C80049,2025-07-03 16:40:00,2025-07-05 15:40:00,Facebook,Payments,Reversal delay,Medium,Closed,Resolved,48,23,23,SME,Coast
CX250703058,C67084,2025-07-03 16:40:00,2025-07-04 07:40:00,App,Agent Banking,Service unavailable,Low,Closed,Resolved,72,4,32,Retail,Western
CX250701574,C58312,2025-07-03 16:42:00,2025-07-05 22:42:00,Facebook,Loans,Reschedule request,Medium,Closed,Resolved,72,14,26,Corporate,Western
CX250711668,C27090,2025-07-03 17:01:00,2025-07-04 18:01:00,WhatsApp,Agent Banking,Wrong posting,High,Closed,Resolved,36,7,28,SME,Rift Valley
CX250705356,C96637,2025-07-03 17:09:00,2025-07-04 15:09:00,Facebook,ATM,ATM downtime,Low,Closed,Partially Resolved,72,12,35,Retail,Coast
CX250702768,C57334,2025-07-03 17:16:00,2025-07-07 01:16:00,WhatsApp,Accounts,KYC update,Medium,Closed,Resolved,48,10,14,Corporate,Central
CX250701558,C75545,2025-07-03 17:23:00,2025-07-03 21:23:00,App,Mobile Banking,Login failure,Low,Closed,Resolved,48,3,18,Retail,Rift Valley
CX250704833,C41059,2025-07-03 17:25:00,2025-07-05 03:25:00,Live Chat,Agent Banking,Wrong posting,Low,Closed,Resolved,72,3,17,SME,Nairobi
CX250706780,C49178,2025-07-03 17:56:00,,Live Chat,Payments,P2P failed,Medium,Open,Unresolved,48,7,13,Retail,Eastern
CX250703776,C12509,2025-07-03 18:02:00,2025-07-04 17:02:00,WhatsApp,Accounts,Account blocked,Low,Closed,Resolved,72,7,25,Corporate,Nyanza
CX250709625,C19804,2025-07-03 18:04:00,2025-07-04 02:04:00,WhatsApp,Mobile Banking,Transfer failed,High,Closed,Resolved,12,11,24,SME,Nyanza
CX250704312,C32948,2025-07-03 18:06:00,2025-07-04 12:06:00,Live Chat,Agent Banking,Float issues,High,Closed,Resolved,36,5,31,SME,North Eastern
CX250706042,C67558,2025-07-03 18:26:00,2025-07-05 14:26:00,Call Centre,Agent Banking,Reversal delay,Low,Open,Unresolved,72,5,17,Corporate,North Eastern
CX250708429,C40098,2025-07-03 18:29:00,,X,Accounts,Balance discrepancy,Medium,Escalated,Unresolved,48,24,16,Retail,North Eastern
CX250702392,C26880,2025-07-03 19:58:00,2025-07-08 05:58:00,Facebook,Cards,Chargeback dispute,High,Closed,Resolved,12,14,21,Retail,Central
CX250700352,C66999,2025-07-04 09:24:00,2025-07-04 23:24:00,WhatsApp,Mobile Banking,App crash,High,Closed,Resolved,12,10,15,Retail,North Eastern
CX250711849,C75079,2025-07-04 09:34:00,,X,Cards,PIN reset,High,Open,Unresolved,12,14,24,Retail,North Eastern
CX250707831,C78514,2025-07-04 09:43:00,2025-07-10 19:43:00,X,ATM,Cash not dispensed,Medium,Closed,Resolved,48,12,16,Retail,Eastern
CX250708215,C45449,2025-07-04 09:56:00,2025-07-04 21:56:00,WhatsApp,Internet Banking,Transfer failed,Low,Closed,Resolved,48,4,24,SME,North Eastern
CX250702954,C69555,2025-07-04 10:06:00,2025-07-06 10:06:00,Email,Mobile Banking,App crash,Low,Closed,Resolved,48,160,8,SME,Nairobi
CX250704085,C18707,2025-07-04 10:09:00,,App,Payments,Settlement delay,Low,Open,Partially Resolved,72,3,23,Corporate,Nairobi
CX250710583,C52953,2025-07-04 10:34:00,,Email,ATM,Card retained,Low,Open,Partially Resolved,72,116,22,SME,Eastern
CX250709279,C96161,2025-07-04 10:46:00,2025-07-04 18:46:00,Branch,Internet Banking,Token/OTP issues,Low,Closed,Resolved,48,8,23,Corporate,Central
CX250710166,C34167,2025-07-04 11:39:00,2025-07-06 06:39:00,Live Chat,ATM,Cash not dispensed,Low,Closed,Resolved,72,3,24,Corporate,Eastern
CX250710239,C42118,2025-07-04 11:44:00,,Branch,Payments,Merchant payment failed,Medium,Open,Partially Resolved,48,26,21,SME,Nyanza
CX250708557,C16400,2025-07-04 11:56:00,2025-07-04 14:56:00,Branch,Mobile Banking,Login failure,High,Closed,Resolved,12,4,28,Retail,Coast
CX250700914,C66423,2025-07-04 12:04:00,2025-07-07 06:04:00,Branch,ATM,Card retained,Low,Closed,Resolved,72,25,15,Corporate,Central
CX250706804,C79332,2025-07-04 12:16:00,2025-07-04 17:16:00,Facebook,Accounts,Statement request,High,Closed,Resolved,36,7,15,Retail,Rift Valley
CX250709465,C81226,2025-07-04 12:22:00,2025-07-05 14:22:00,Call Centre,Accounts,KYC update,Low,Closed,Resolved,72,12,26,Retail,Eastern
CX250709308,C96645,2025-07-04 12:26:00,2025-07-05 16:26:00,Branch,ATM,ATM downtime,Low,Closed,Resolved,72,11,22,SME,North Eastern
